Timestamp,S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S3_1,S3_2,S4_1,S4_2,Nivel_agua,Nivel_total
2022-03-28 16:31:02.577450,1524.08978,1524.67792,1530.24974,1538.64304,1552.56151,1553.27882,1530.99113,1539.25748,1544.75146,1550.43515,1545.14073,1559.75332,257.0,257.0
2022-03-28 16:31:03.077450,1524.09533,1524.67776,1530.24977,1538.64317,1552.56127,1553.27949,1530.99223,1539.25764,1544.7507,1550.43451,1545.13995,1559.75264,257.0,257.0
2022-03-28 16:31:03.577450,1524.09284,1524.67814,1530.24938,1538.64318,1552.56133,1553.27864,1530.99173,1539.25816,1544.75018,1550.43507,1545.14069,1559.75183,257.0,257.0
2022-03-28 16:31:04.077450,1524.09223,1524.67661,1530.24961,1538.64339,1552.56123,1553.27948,1530.99173,1539.2578,1544.7504,1550.43468,1545.141,1559.7527,257.0,257.0
2022-03-28 16:31:04.577450,1524.09226,1524.67737,1530.24898,1538.64295,1552.56106,1553.27907,1530.99161,1539.25765,1544.7508,1550.43499,1545.14045,1559.75195,257.0,257.0
2022-03-28 16:31:05.077450,1524.09234,1524.67757,1530.24858,1538.64322,1552.56107,1553.27859,1530.99111,1539.25819,1544.75055,1550.4342,1545.14114,1559.75487,257.0,257.0
2022-03-28 16:31:05.577450,1524.09288,1524.67761,1530.24833,1538.64349,1552.56154,1553.27941,1530.99191,1539.25788,1544.75027,1550.43408,1545.1404,1559.75229,257.0,257.0
2022-03-28 16:31:06.077450,1524.09281,1524.67775,1530.24903,1538.64282,1552.5615,1553.27885,1530.99197,1539.25726,1544.75049,1550.43379,1545.14097,1559.75385,257.0,257.0
2022-03-28 16:31:06.577450,1524.09279,1524.67727,1530.24873,1538.64291,1552.56217,1553.27929,1530.9912,1539.25692,1544.75168,1550.43432,1545.14084,1559.75302,257.0,257.0
2022-03-28 16:31:07.077450,1524.09207,1524.67727,1530.24887,1538.64327,1552.56117,1553.27899,1530.99206,1539.25778,1544.75061,1550.434,1545.14185,1559.7526,257.0,257.0
2022-03-28 16:31:07.577450,1524.09263,1524.67716,1530.24905,1538.64329,1552.56128,1553.27774,1530.99203,1539.25781,1544.75012,1550.43389,1545.14093,1559.7519,257.0,257.0
2022-03-28 16:31:08.077450,1524.09173,1524.67688,1530.24911,1538.64294,1552.561,1553.27894,1530.99253,1539.2576,1544.75163,1550.43424,1545.14083,1559.75173,257.0,257.0
2022-03-28 16:31:08.577450,1524.09182,1524.67672,1530.25016,1538.64301,1552.5612,1553.27858,1530.99302,1539.25772,1544.75057,1550.4341,1545.14112,1559.75324,257.0,257.0
