S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S3_1,S3_2,S4_1,S4_2
0.41264230244632927,0.15575182321299508,0.3379010331700556,0.2123374747188791,0.15705663722837926,0.13633315041806782,0.398189722756797,0.357995667751311,0.016711167541416216,0.27153663768740444,0.277138996230633,0.9365451806179124
0.4121691207164986,0.21992157437580317,0.185608120355937,0.16853510546116013,0.18931360180067713,0.2623010792030982,0.411323905230347,0.3457380734837443,0.2605261683811477,0.25747995935353174,0.4287949550744088,0.9572180416022036
0.986862248448233,0.32601605160016334,0.8599963748420123,0.4554752961576014,0.1417124151803364,0.14605816718540154,0.7190404919720095,0.736554117175956,0.3222547939581091,0.4244806367842102,0.2412579123301839,0.9424045517646817
0.7955576585854942,0.6547440172980714,0.6139931121988411,0.45111239526158897,0.112115115764027,0.172123650996582,0.23524440779101496,0.45667238140185873,0.6648617360942808,0.7194027323016599,0.2910196533985072,0.9580913575262002
0.40771564561418927,0.22739766189079091,0.20884538698646793,0.21343542328850162,0.08807583455563872,0.11551124931429513,0.2302147286111449,0.34381833300813014,0.21549003865038685,0.328384328779066,0.19531305564100876,0.9546355780227032
0.9680184819217175,0.29567193168986705,0.9459126336787449,0.637821438890569,0.1408599584001422,0.13642460825576563,0.672093425781668,0.766849059121796,0.29118509251838987,0.42260359038027673,0.18936250918659425,0.9404829936849097
0.4094970356554768,0.249606039506034,0.20493021569745906,0.20066454781863285,0.10144235687221226,0.10249375038165454,0.3461926143133951,0.1182950240736318,0.4616390014375611,0.1499379022238827,0.10024655650659042,0.947861461054913
0.5891390875940488,0.3968189980578245,0.43117636396618764,0.3857844553594987,0.1782657619260135,0.25757575757597806,0.5596179887393191,0.3719574166657367,0.7081053830497694,0.6171813255050438,0.39110025841000606,0.9594131685256428
0.49697998719602765,0.3876571261034769,0.23277143375071319,0.20176249638825539,0.09336106659429788,0.09667093469943211,0.27285500473453794,0.00972189428080128,0.6532105980545566,0.1756943660379875,0.08526350726606324,0.9443366317230755
0.6685222812920983,0.13347015062117862,0.8109842305611892,0.6351343542328323,0.14328093565745803,0.30638375708804233,0.5457100094688485,0.6225092137276533,0.6801165113802199,0.853505701704762,0.33921670894460476,0.9424045517646817
0.6819383750380439,0.8197676549280004,0.5160775783942881,0.4134932100550941,0.9279503529178328,0.881196268520398,0.4670372746063549,0.4085967415740015,0.5186997031200917,0.5605312182451598,0.9318176430149379,0.9962305369906517
0.6244328777793271,0.47476820463907643,0.8660503897053786,0.852499277665629,0.009581614212038403,0.02914456435610191,0.48563894234212057,0.6697635742075363,0.5762085254959857,0.9883990064349746,0.236789075650222,0.001304712946705422
0.6775405683747522,0.4585700150255434,0.472430668843117,0.3955504189543717,0.13983701026336348,0.1759039082980962,0.4954335807449297,0.3978482481084029,0.6398043206304465,0.5340973241500251,0.35026433702387294,0.9570628438927997
0.4100815542624332,0.18279766922023555,0.2227297444269425,0.30491187518055085,0.15971630238345824,0.14246082555928297,0.4067422136697587,0.3406872054943051,0.44853147114281455,0.41073444732955977,0.29975581422922914,0.9429964074360697
0.9544075486401198,0.7872613332356195,0.5086460032625837,0.04628720023083588,0.012445868995200726,0.019693921102771128,0.7070364600833727,0.6503916475890037,0.24360961218872035,0.4028028677880684,0.22953462459395269,0.0009022510901530723
0.8063851699280349,0.6410012093674595,0.6816748232740792,0.4504767408270709,0.2342551232659389,0.23666239863450755,0.46643656393507626,0.5934667227872978,0.6943630151049547,0.7205600090319422,0.367060999027899,0.9836115164591774
0.4589862777293092,0.05017041081828211,0.7752764183442196,0.715284599826191,0.1440992941661534,0.48292787025184225,0.41816589796076187,0.40791918611216715,0.7955822768262806,0.8701450829848909,0.3815343401058726,0.9424045517646817
0.6235700169781921,0.4929087111077024,0.429581294181844,0.3535683328518644,0.09383844239164318,0.14538747637379856,0.06258590671677666,0.3942756829449081,0.743581604645442,0.7135740092580818,0.2779213389915185,0.9571581984176589
0.45247307039244333,0.23754901601478196,0.27264817835839494,0.27255128575598064,0.2829815528357358,0.33171757819582126,0.543083172974093,0.3618556806866309,0.5691506245680102,0.5392203906512805,0.43927360660018167,0.966036691105927
0.6620647423942501,0.41459302964813105,0.4973717600150849,0.3491476451890776,0.1335288300888351,0.19529296994096512,0.4645020719428885,0.4391585993080298,0.6086599324085,0.6822146324934693,0.2755743107086346,0.9592106223625478
0.429314999860253,0.1171986660319817,0.22149719050230487,0.2011557353371245,0.10740955433630006,0.10910920065907703,0.36193327020805555,0.23892042829697857,0.3595234983285991,0.3140736140903755,0.1307816315402306,0.956710360959633
0.46399643721997563,0.2612232931433027,0.2080841036804486,0.18185495521538542,0.15279435332649882,0.13557100176876702,0.5884622824969483,0.3286143990799246,0.30343372481638653,0.2829541605506165,0.302375477110445,0.9565308314059848
0.38572661229682126,0.11829809066603048,0.19318470183134195,0.20667437156953383,0.0838476489243476,0.10663983903486951,0.8002891556452596,0.37960558059307914,0.06299830087573355,0.2420401941963064,0.1746639482230421,0.9654527268434805
0.461157346841901,0.2689192655843726,0.20714156244412152,0.1801502455937225,0.15235107580065232,0.13444302176685596,0.5841860370405811,0.32517529181063765,0.2975894841010813,0.267697866094295,0.29943576491791646,0.9553227882189219
0.40980321206916415,0.265511049217821,0.20213884357508505,0.19739959549315245,0.10689808026745595,0.10136577037974348,0.3400531476222568,0.10711535895029556,0.46232985417418604,0.12308061420299055,0.09734240534839955,0.9469624980518176
0.41361650012458995,0.2927767801520531,0.15515678811061662,0.11204854088464344,0.007978995465236949,0.04301566977665061,0.4327662217335728,0.35055282366079155,0.5070672367755833,0.5796262842945907,0.43024110381452374,0.9560343302594134
0.4736827455672028,0.36537545351256995,0.27848468370484625,0.23614562265265704,0.1389504552116705,0.12212669959171762,0.7411853345145119,0.345820201418519,0.16294788729737775,0.1771197922544161,0.2744126502452673,0.9507530048183668
0.5916163331194184,0.6228973503866655,0.347688961392123,0.2510546084949965,0.13008490469565004,0.11602951039640175,0.47987619251262004,0.30073196521880163,0.33681871650742323,0.21221914869556713,0.2817382233706667,0.9447673711283642
0.5816795167975215,0.5389746032915355,0.3802428856270126,0.40430511412887427,0.020697650628790143,0.8434241814520647,0.48946720017943335,0.48837376423102796,0.7119517523383365,0.5354662978434135,0.5459330030109868,0.018455375068796798
0.5879700503792264,0.11822479569036659,0.8029001268814682,0.6783299624385108,0.14334913219954615,0.4113163831470956,0.5011759675005578,0.5182580665029946,0.7402206994415792,0.8718668849492133,0.3603044024562223,0.9424045517646817
0.5270687783558969,0.4364349323850547,0.22305600870095077,0.18121930078086734,0.08896238960733172,0.07398939089125633,0.24246311738306758,0.027020090545875064,0.5934425005134472,0.016540589364012703,0.06203029800144577,0.936608969506949
0.6344531967597504,0.49422802066874283,0.8666666666667879,0.8497255128577308,0.00930882804277644,0.03194927138611092,0.48721708054631563,0.6645997803075261,0.6224209720485305,0.9743141018398092,0.23595931817635574,0.0012586797278117956
0.9894229966321291,0.3276285410629498,0.8631140112383946,0.4624674949436667,0.14276946158861392,0.14791780988980463,0.7219320484234686,0.7420669547987018,0.3512892805792944,0.41882127131066227,0.2365994167989811,0.9424045517646817
0.5603028363066187,0.3511562282410523,0.3616458220049026,0.970875469517523,0.1959627646883746,0.7970550576183086,0.4310353604773809,0.4007329918179039,0.882872453647451,0.9590860336456899,0.6615419264599041,0.9515368847742565
0.4384724580395414,0.2542969179457941,0.24121805329014023,0.2000288933832053,0.18614246257766354,0.2705322846168201,0.4145921785434439,0.35046042973431213,0.32253486939134746,0.2768149486278162,0.4214693819492368,0.9553655333507436
0.6782920922978519,0.5518378715141807,0.4572775058913976,0.27385148800931347,0.12814130323567952,0.11990122553561378,0.4935703595101586,0.378168341734181,0.4046529865377124,0.26144574912495955,0.2850809606220537,0.9449462430646207
0.5756116569709775,0.4751713270052278,0.3568243610661739,0.20624097081781656,0.09094008933789155,0.07319675629605626,0.22415671421458683,0.06347462760095368,0.7461582986352369,0.13918369651082685,0.06432991157134893,0.9419271215231078
