;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
243;4.664863634109497;0.02775364392651256;0.05711660385131836;0.0002690470835349218;20;sqrt;1;2;100;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.9999510016005472;0.9999439995588888;0.9999901538123146;0.9999589732883958;0.9999870294746832;0.999966231546966;1.8887686232020878e-05;19
270;4.751505661010742;0.04693580720387512;0.05708513259887695;0.00036406586040538843;20;log2;1;2;100;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100};0.9999510016005472;0.9999439995588888;0.9999901538123146;0.9999589732883958;0.9999870294746832;0.999966231546966;1.8887686232020878e-05;19
275;23.49362006187439;0.12277631421017361;0.2720552921295166;0.0010970198256984134;20;log2;1;5;500;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500};0.9999598635971093;0.9999396008860306;0.9999940181634626;0.9999455556470226;0.9999911771242183;0.9999660430835687;2.267790120014164e-05;21
248;23.412563943862914;0.04209985816075206;0.27863245010375975;0.013108319128856651;20;sqrt;1;5;500;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500};0.9999598635971093;0.9999396008860306;0.9999940181634626;0.9999455556470226;0.9999911771242183;0.9999660430835687;2.267790120014164e-05;21
1;9.502357816696167;0.07229548804741208;0.11561250686645508;0.0024442182352532663;;sqrt;1;2;200;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200};0.9999513028585904;0.9999307719478555;0.9999921372907764;0.999966554315048;0.9999890487005407;0.9999659630225622;2.3115893310769545e-05;23
28;9.651765394210816;0.1808127373090375;0.11331067085266114;0.0011297584721531107;;log2;1;2;200;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200};0.9999513028585904;0.9999307719478555;0.9999921372907764;0.999966554315048;0.9999890487005407;0.9999659630225622;2.3115893310769545e-05;23
5;23.466844940185545;0.046717224995029526;0.28051156997680665;0.007139327378874509;;sqrt;1;5;500;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500};0.9999598627524955;0.9999396008860306;0.9999940196044969;0.9999444773090874;0.9999911740368977;0.9999658269178017;2.2875689419427105e-05;25
32;23.413133287429808;0.022888679709918813;0.2757774829864502;0.0074668736075579395;;log2;1;5;500;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500};0.9999598627524955;0.9999396008860306;0.9999940196044969;0.9999444773090874;0.9999911740368977;0.9999658269178017;2.2875689419427105e-05;25
251;23.790654611587524;0.1978066533236859;0.27924041748046874;0.006929072915316708;20;sqrt;1;10;500;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500};0.9999603205882257;0.999939042943678;0.9999939677160348;0.9999448602065806;0.999990477037932;0.9999657336984903;2.274552005614099e-05;27
278;23.45218777656555;0.06799447556421749;0.2772215366363525;0.00954712506081964;20;log2;1;10;500;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500};0.9999603205882257;0.999939042943678;0.9999939677160348;0.9999448602065806;0.999990477037932;0.9999657336984903;2.274552005614099e-05;27
8;23.44202947616577;0.03578235813679919;0.2832982540130615;0.007167941061142715;;sqrt;1;10;500;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500};0.9999603195551348;0.999939042943678;0.9999939540837522;0.9999448689652979;0.9999904772451726;0.9999657325586071;2.2740623000149156e-05;29
35;23.53081750869751;0.11874606606577373;0.2801321506500244;0.009218193040999292;;log2;1;10;500;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500};0.9999603195551348;0.999939042943678;0.9999939540837522;0.9999448689652979;0.9999904772451726;0.9999657325586071;2.2740623000149156e-05;29
272;23.4351767539978;0.07659317327725997;0.2709603786468506;0.0022522110511760413;20;log2;1;2;500;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500};0.9999602286724877;0.9999360163759261;0.9999941727580579;0.9999463255792058;0.9999915945253252;0.9999656675822006;2.3527176977648546e-05;31
