mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
167.30415825843812,11.59314167387124,0.7604943752288819,0.2916590051066284,500,5,4,1.0,,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': None}",-0.0029028939020269693,-0.007977389273107038,-0.0025390679181032986,-0.010369993071411104,-0.0051998485923493995,-0.005797838551399562,0.0030004306643496193,21
285.05303606987,3.2654665470567936,3.4485570907592775,0.5498302279886392,500,10,4,1.0,,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': None}",-0.0029085966759991315,-0.007987439148755856,-0.002530691984663834,-0.010366896900597616,-0.005221514870755674,-0.005803027916154421,0.0030008207082316014,22
61.37388753890991,0.5560466326306954,1.2864988327026368,0.19454137758410617,100,5,4,1.0,,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': None}",-0.0028848357588189184,-0.007948569919752044,-0.002477972167144356,-0.010285295864042731,-0.005494499479354423,-0.005818234637822495,0.002978588632940867,23
55.551581144332886,3.149910313008284,1.210599994659424,0.24735251427794688,100,2,4,1.0,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': None}",-0.0028848357588189175,-0.007948569919752044,-0.0024779721671443575,-0.010285295864042733,-0.005494499479354422,-0.005818234637822495,0.002978588632940867,23
54.48438844680786,2.397149038881181,0.9048902511596679,0.05703379584460172,100,2,4,1.0,20,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': 20}",-0.0028902299245091184,-0.007959772322913373,-0.002503554069922648,-0.010287992657984925,-0.005543215214674941,-0.005836952838001001,0.0029731842563785974,25
108.23763275146484,1.2529862806338459,1.790738296508789,0.21343482174344836,200,5,4,1.0,20,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': 20}",-0.0027857704854040485,-0.008138454737678335,-0.002665275403885419,-0.010337954987664386,-0.0056413696434707145,-0.00591376505162058,0.0029977970260024888,26
219.91012926101683,11.606007630569426,2.2348613262176515,0.6180394489858557,500,10,4,1.0,10,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': 10}",-0.005735600709697556,-0.008951915262462744,-0.004875066492160684,-0.011355507889917843,-0.0070181331021954745,-0.007587244691286861,0.0023311163557917674,27
23.499682569503783,1.8869599367177334,1.5362685203552247,0.150330596481533,200,2,2,log2,10,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10}",-0.007980612487281326,-0.008044650472898587,-0.0076777791503077,-0.007990293894571012,-0.006899651418035082,-0.007718597484618742,0.00042921326828424563,28
63.15818238258362,3.5779213462191395,1.9276740550994873,0.6078204018686411,500,2,2,sqrt,10,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}",-0.007760305913885695,-0.008218777155065344,-0.007598877294398596,-0.0081996374641631,-0.007348736238149269,-0.0078252668131324,0.00033986976772833134,29
73.82077441215515,2.9882574942167364,3.564263200759888,0.12737725551001294,500,10,2,sqrt,10,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}",-0.007518232935677788,-0.008149247034138428,-0.0076722047329954805,-0.00830817813089626,-0.007677794093693015,-0.007865131385480194,0.00030648543490504796,30
28.584318447113038,1.276649173481284,1.483015775680542,0.2750866500898237,200,10,2,sqrt,10,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}",-0.0077825908499959285,-0.008085589539241673,-0.007651628617482179,-0.00847316568087127,-0.00767649229665811,-0.007933893396849832,0.00031069197243125584,31
14.266327714920044,0.4570583175258673,1.1698026180267334,0.13622106955216035,100,5,4,log2,10,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10}",-0.00857701648469226,-0.00823963174820657,-0.008075521356871437,-0.008519553259443417,-0.0085874711625525,-0.008399838802353236,0.00020580451432928456,32
47.77927575111389,2.1275532501047563,2.3045873641967773,0.5014520709698229,500,2,1,sqrt,5,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 5}",-0.05259172931197744,-0.0529339532787351,-0.05285421269616691,-0.05251961423050483,-0.05237647576704683,-0.052655197056886226,0.00020852274252986108,33
42.3272376537323,0.575601447659544,1.8332783222198485,0.3582749315410888,500,2,1,log2,5,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5}",-0.05259172931197749,-0.05293395327873512,-0.05285421269616694,-0.05251961423050485,-0.05237647576704684,-0.052655197056886247,0.0002085227425298607,34
40.71165404319763,1.4454138992413819,2.122083377838135,0.20926901683393545,500,10,2,log2,5,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5}",-0.052740463302303454,-0.053042658031676945,-0.05301967861304591,-0.05259634395217056,-0.052412791245927,-0.05276238702902477,0.00024290696114359108,35
21.248143482208253,0.2896335698791471,1.4267905712127686,0.21463171342443177,200,10,1,log2,5,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5}",-0.05345563004583634,-0.053706353826676705,-0.053495576967567876,-0.05335345292934654,-0.05317356317247616,-0.053436915388380725,0.00017476204564931497,36
